uid,line_recall,line_precision,line_f1,line_correct_type,line_total_pred,line_total_gt,line_param_s_x,line_param_s_y,line_param_e_x,line_param_e_y,arc_recall,arc_precision,arc_f1,arc_correct_type,arc_total_pred,arc_total_gt,arc_param_s_x,arc_param_s_y,arc_param_m_x,arc_param_m_y,arc_param_e_x,arc_param_e_y,arc_param_x,arc_param_y,circle_recall,circle_precision,circle_f1,circle_total_pred,circle_total_gt,circle_correct_type,circle_param_c_x,circle_param_c_y,circle_param_r,macro_recall,macro_precision,macro_f1,micro_recall,micro_precision,micro_f1,total_type_acc,model_type,num_skt_gt,num_skt_pred,theta,phi,gamma,o_x,o_y,o_z,scale,dist,b,num_ext_pred,num_ext_gt,num_ext,cd
part_3_vi_part_3_new_1508,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,4,4,4,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,2,2,0.016274414209585943
part_6_en_part_6_new_122,1.0,1.0,1.0,3,3,3,0,0,0,0,1.0,1.0,1.0,1,1,1,0,0,0,0,0,0,0,0,1.0,1.0,1.0,3,3,3,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,2,2,2.2089323345553233,0.0,0.0,0.0009968750000000082,0.0006843750000000703,0.0026177083333331908,0.001408333333333333,0.0029302083333333506,1,2,2,2,1.9141162165263155
part_5_vi_part_5_new_92,1.0,1.0,1.0,4,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,4,4,4,2,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,3,3,2.208932334555323,0.0,2.208932334555323,0.0032729166666667364,0.001348958333333261,0.002148958333333395,0.0026729166666666655,0.0015375000000004135,3,3,3,3,4.317400638074533
part_10_en_part_10_new_6,1.0,1.0,1.0,13,13,13,11,2,7,2,1.0,1.0,1.0,2,2,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,moderate,2,2,0.0,0.0,0.0,0.0040781249999999325,0.005093750000000119,0.0020812500000000345,0.005036458333333333,0.0,1,2,2,2,2.8999791229343113
part_2_vi_part_2_new_13438,0.8888888888888888,1.0,0.9411764705882353,8,8,9,4,6,4,6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.8888888888888888,1.0,0.9411764705882353,0.8888888888888888,1.0,0.9411764705882353,0.8888888888888888,simple,1,1,0.0,0.0,2.208932334555323,0.0,0.0025250000000001105,0.0,0.0027593750000000005,0.0018739583333333698,1,1,1,1,154.83604169992404
part_5_en_part_5_new_1371,0.75,1.0,0.8571428571428571,12,12,16,0,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.75,1.0,0.8571428571428571,0.75,1.0,0.8571428571428571,0.75,moderate,2,2,0.0,0.0,2.208932334555323,9.79166666665865e-05,0.0009770833333333506,0.0009770833333333506,0.00019583333333333323,0.005859375,1,2,2,2,5.050362854144343
part_5_en_part_5_new_98,1.0,1.0,1.0,12,12,12,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,moderate,3,3,0.0,0.0,0.0,0.007604166666666634,0.0,0.0002083333333333659,0.0,0.0,3,3,3,3,0.15075996395726718
part_4_vi_part_4_new_1993,0.6666666666666666,1.0,0.8,8,8,12,1,1,1,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,moderate,2,2,0.0,0.0,0.0,0.0003427083333333858,0.004015625000000078,0.0003583333333334604,0.0025239583333333333,0.004203125000000085,1,2,2,2,101.59681374535528
part_6_en_part_6_new_293,0.5714285714285714,1.0,0.7272727272727273,16,16,28,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,0,0,0,0,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,complex,3,3,0.0,0.0,0.0,0.00013020833333343695,0.00013020833333343695,0.0001302083333332149,0.00013020833333333287,0.0029947916666666075,3,3,3,3,7.285756184690996
part_4_vi_part_4_new_251,1.0,1.0,1.0,4,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,0.0,0.0,0.0,0.0,0.0003906249999998668,0.0,0.0,0.0005208333333328596,1,1,1,1,3.031178156004422
part_4_en_part_4_new_2571,1.0,1.0,1.0,28,28,28,0,0,0,0,1.0,1.0,1.0,8,8,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,complex,4,4,0.0,0.0,0.0,0.0003552083333335787,0.0,0.0009229166666666622,0.0007104166666666665,0.0,4,4,4,4,0.16053348800141132
part_5_vi_part_5_new_1375,1.0,1.0,1.0,20,20,20,0,1,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,moderate,3,3,0.0,0.0,2.208932334555323,0.0009114583333333925,0.0003906249999998668,0.0026041666666667407,0.0018229166666666671,0.00039062499999964473,2,3,3,3,0.7194069155359362
part_3_en_part_3_new_6735,1.0,0.16666666666666666,0.2857142857142857,2,12,2,0,0,0,0,0.0,0.0,0.0,0,4,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,0.08333333333333333,0.14285714285714285,0.5,0.125,0.2,0.125,simple,1,1,0.0,0.0,0.0,0.0,0.0015625000000001332,0.0,0.0,0.0006249999999994316,1,1,1,1,179.60203137926882
part_6_vi_part_6_new_615,1.0,0.875,0.9333333333333333,7,8,7,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,0.875,0.9333333333333333,1.0,0.875,0.9333333333333333,0.875,simple,2,2,0.0,0.0,2.208932334555323,0.00390625,0.0,0.003275000000000139,0.0020187499999999997,0.004622916666666921,1,2,2,2,14.909014579820093
part_5_en_part_5_new_1118,1.0,1.0,1.0,29,29,29,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,complex,4,4,0.0,0.0,0.0,0.005286458333333188,0.0003322916666665954,0.0,0.00019895833333333332,0.0010354166666664,4,4,4,4,46.015613740503674
part_3_vi_part_3_new_7369,0.0,0.0,0.0,0,0,6,0,0,0,0,0.0,0.0,0.0,0,0,6,0,0,0,0,0,0,0,0,1.0,0.6666666666666666,0.8,12,8,8,0,0,0,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.4,0.6666666666666666,0.5,0.4,moderate,3,3,0.0,0.0,2.208932334555323,0.0005906250000000668,0.0005906250000000668,0.005903124999999898,0.00032291666666666666,0.0003416666666669066,3,3,3,3,0.08796390275131906
part_2_en_part_2_new_20286,0.0,0.0,0.0,0,4,6,0,0,0,0,0.3333333333333333,0.5,0.4,2,4,6,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1,1,1,0,0,0,0.4444444444444444,0.5,0.4666666666666666,0.23076923076923078,0.3333333333333333,0.27272727272727276,0.23076923076923078,moderate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005411458333333119,1,1,1,1,195.49002150922718
part_4_vi_part_4_new_897,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,0.6666666666666666,2,1,1,1,1,0,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,simple,1,1,0.0,0.0,2.208932334555323,0.0006062499999999194,0.0056614583333332025,0.004650000000000043,0.005790625000000001,0.00040729166666686467,1,1,1,1,493.2629197500196
part_4_en_part_4_new_3011,1.0,0.6,0.7499999999999999,6,10,6,0,0,0,0,0.8181818181818182,0.75,0.7826086956521738,18,24,22,0,0,0,0,0,0,0,0,1.0,0.5,0.6666666666666666,2,1,1,0,0,0,0.9393939393939394,0.6166666666666667,0.7330917874396135,0.8620689655172413,0.6944444444444444,0.7692307692307692,0.6410256410256411,complex,3,3,0.0,0.0,0.0,3.124999999992717e-05,0.0,0.003493750000000073,0.003057291666666666,0.0001541666666668995,3,3,3,3,2.9914360791498176
part_2_vi_part_2_new_24402,0.42857142857142855,1.0,0.6,6,6,14,2,1,1,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.42857142857142855,1.0,0.6,0.42857142857142855,1.0,0.6,0.42857142857142855,moderate,1,1,0.0,0.0,2.208932334555323,0.0,0.0017364583333334682,0.0,0.0,0.00021666666666630974,1,1,1,1,68.2315784946883
part_4_en_part_4_new_3349,1.0,0.7777777777777778,0.8750000000000001,28,36,28,0,0,0,0,1.0,0.5,0.6666666666666666,4,8,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,0.6388888888888888,0.7708333333333334,1.0,0.7272727272727273,0.8421052631578948,0.7272727272727273,complex,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,4,3,3,0.31503705883686833
part_2_vi_part_2_new_15394,1.0,1.0,1.0,36,36,36,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,complex,2,2,0.0,0.0,0.0,0.0006020833333333364,0.0,0.0,0.0,9.479166666714889e-05,1,2,2,2,1.0821591501957613
part_4_en_part_4_new_2233,1.0,1.0,1.0,8,8,8,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,0.0,0.0,2.208932334555323,0.0,0.006145833333333295,0.0,0.0,0.004557291666666963,1,1,1,1,344.15085052996153
part_6_vi_part_6_new_566,1.0,1.0,1.0,34,34,34,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,complex,5,5,0.0,0.0,0.0,0.0,0.0016739583333333918,0.0,0.0,0.0,5,5,5,5,0.5571913891213398
part_5_vi_part_5_new_921,0.5,1.0,0.6666666666666666,8,8,16,93,76,97,44,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,0.5,moderate,1,1,0.0,0.0,2.208932334555323,0.0,0.00012187500000004903,0.0,0.0,0.003784374999999951,1,1,1,1,33.75935148521807
part_2_vi_part_2_new_26224,0.5,0.875,0.6363636363636364,7,8,14,11,3,7,4,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,0,1.0,0.75,0.8571428571428571,4,3,3,2,15,0,0.5,0.5416666666666666,0.4978354978354978,0.5263157894736842,0.8333333333333334,0.6451612903225806,0.5263157894736842,moderate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0006624999999999999,0.00030312499999984865,1,1,1,1,124.80168002320025
part_2_en_part_2_new_19892,1.0,1.0,1.0,8,8,8,5,6,5,6,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.004317708333333333,0.009545833333333587,1,1,1,1,593.0636870852309
part_4_vi_part_4_new_2923,0.5454545454545454,0.3333333333333333,0.41379310344827586,6,18,11,3,0,3,3,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.2727272727272727,0.16666666666666666,0.20689655172413793,0.5,0.3333333333333333,0.4,0.25,moderate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00501354166666701,1,1,1,1,139.69657223591307
part_5_en_part_5_new_395,1.0,1.0,1.0,4,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,0.0,0.0,2.208932334555323,0.0,0.006249999999999867,0.0015625000000001332,0.0015625000000000005,0.0052739583333334394,1,1,1,1,343.24934688015827
part_6_vi_part_6_new_157,0.9230769230769231,1.0,0.9600000000000001,12,12,13,36,23,36,19,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0.9230769230769231,1.0,0.9600000000000001,0.9230769230769231,1.0,0.9600000000000001,0.9230769230769231,moderate,2,2,0.0,0.0,4.417864669110647,0.002232291666666608,0.001953125,0.0,0.005580208333333334,0.0,2,2,2,2,9.027595699533007
part_3_en_part_3_new_6715,1.0,1.0,1.0,12,12,12,0,2,0,2,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,moderate,3,3,0.0,0.0,0.0,0.004280208333333313,0.0026041666666667407,0.0,0.0026041666666666665,0.0,3,3,3,3,2.887863087726466
part_9_vi_part_9_new_5,1.0,1.0,1.0,12,12,12,2,0,2,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,moderate,3,3,0.0,0.0,0.0,0.0,0.0,0.00032291666666672825,0.00040416666666666666,0.0,3,3,3,3,0.37994085359263563
part_3_en_part_3_new_7971,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2,2,2,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,2,2,0.0,0.0,0.0,0.000813541666666806,0.000813541666666806,0.0,0.0016281250000000002,0.0,2,2,2,2,13.766743134886305
part_8_vi_part_8_new_1,1.0,1.0,1.0,31,31,31,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,complex,7,7,4.417864669110647,0.0,2.208932334555323,0.005140624999999899,3.0208333333225923e-05,0.00771145833333331,0.002570833333333333,0.0,7,7,7,7,2.4186476985116068
part_9_en_part_9_new_16,1.0,1.0,1.0,4,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,0.0,0.0,0.0,0.0,0.0,0.0017364583333334682,0.001736458333333333,0.001539583333333372,1,1,1,1,102.74847254050604
part_2_vi_part_2_new_8353,1.0,1.0,1.0,6,6,6,0,0,0,1,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,0.0,0.0,2.208932334555323,0.0,0.0,0.0,0.0,0.0007281250000001904,1,1,1,1,328.6790876992591
part_2_en_part_2_new_19113,0.125,0.16666666666666666,0.14285714285714288,1,6,8,0,0,0,0,0.0,0.0,0.0,0,6,5,0,0,0,0,0,0,0,0,0.75,0.3333333333333333,0.46153846153846156,9,4,3,2,0,2,0.2916666666666667,0.16666666666666666,0.2014652014652015,0.23529411764705882,0.19047619047619047,0.21052631578947367,0.13793103448275862,moderate,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,6.4355791480943205
part_2_vi_part_2_new_9470,1.0,1.0,1.0,4,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0024552083333333335,0.0005583333333336604,1,1,1,1,11.842017149687935
part_5_en_part_5_new_700,1.0,1.0,1.0,16,16,16,0,0,0,0,1.0,1.0,1.0,16,16,16,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,complex,4,4,0.0,0.0,0.0,0.0,0.005468749999999911,0.006250000000000089,0.0,0.006250000000000533,4,4,4,4,18.846551998914382
part_5_vi_part_5_new_1332,1.0,1.0,1.0,5,5,5,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.8333333333333334,0.9090909090909091,6,5,5,3,18,0,1.0,0.9166666666666667,0.9545454545454546,1.0,0.9090909090909091,0.9523809523809523,0.9090909090909091,simple,2,2,0.0,0.0,0.0,0.0020197916666666593,0.00468124999999997,2.1874999999837996e-05,0.004680208333333333,0.00754374999999996,1,2,2,2,37.405892031260144
part_5_en_part_5_new_1271,1.0,1.0,1.0,12,12,12,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1,1,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,moderate,3,3,2.2089323345553233,0.0,0.0,0.007685416666666667,0.0,0.0,0.00012708333333333321,0.0,3,3,3,3,53.94860841564106
part_2_vi_part_2_new_18472,1.0,0.5,0.6666666666666666,4,8,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,simple,1,1,0.0,0.0,2.208932334555323,0.0,0.006076041666666532,0.0,0.0,0.005685416666666221,1,1,1,1,349.6116875305089
part_2_en_part_2_new_28639,0.0,0.0,0.0,0,0,8,0,0,0,0,0.0,0.0,0.0,0,0,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,moderate,1,1,0.0,0.0,2.208932334555323,0.0,0.0078125,0.0,0.0072833333333333335,0.007741666666666536,1,1,1,1,359.2381238044223
part_4_vi_part_4_new_610,0.75,0.7058823529411765,0.7272727272727272,12,17,16,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,0.6666666666666666,2,1,1,0,0,0,0.875,0.6029411764705883,0.6969696969696969,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.5909090909090909,moderate,2,2,0.0,0.0,0.0,0.0,0.0,0.0028249999999998554,0.0045916666666666675,0.0,1,2,2,2,86.39376560302733
part_2_en_part_2_new_20304,1.0,1.0,1.0,4,4,4,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,1,1,1,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,simple,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0003718749999999998,0.001209374999999735,1,1,1,1,31.666277023546254
